id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID4CtUq,1259000,14.045828313026483,62.0,4.127134385045092,20306.45,3,2.0,4.0,False,0.0,Krowodrza,2026-08-05
ID4xzis,1260840,14.04728872347082,79.8,4.379523504455763,15800.0,4,0.0,2.0,True,0.0,Prądnik Biały,2026-08-05
ID4Cat1,749000,13.526494262499355,48.34,3.878259375275337,15494.41,3,0.0,4.0,True,0.0,Podgórze,2026-08-05
ID4zeaZ,1130888,13.938513722785348,79.64,4.377516479195996,14200.0,4,0.0,1.0,True,0.0,nieznana,2026-08-05
ID4BX5E,767000,13.550242080349394,48.0,3.871201010907891,15979.17,2,0.0,5.0,True,0.0,Bieżanów-Prokocim,2026-08-05
ID4vrBy,889980,13.698954269545712,42.38,3.746676552840153,21000.0,2,3.0,6.0,False,0.0,Krowodrza,2026-08-05
ID4AIr6,835000,13.635187003832993,57.5,4.051784947803305,14521.74,3,2.0,10.0,False,0.0,Dębniki,2026-08-05
ID18B8MK,799000,13.591116224748411,50.0,3.912023005428146,15980.0,3,1.0,,False,,Wzgórza Krzesławickie,2026-08-05
ID4Blf0,610000,13.321214236149494,39.0,3.6635616461296463,15641.03,2,2.0,2.0,False,1.0,Podgórze Duchackie,2026-08-05
ID4CqBx,650000,13.38472764187182,49.3,3.897924081048645,13184.58,2,3.0,4.0,False,0.0,Podgórze,2026-08-05
ID4Ctdz,899000,13.709038313453757,44.98,3.8062179465311696,19986.66,2,3.0,7.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4zWWU,830025,13.629211099801095,36.13,3.587123545159549,22973.29,2,2.0,3.0,False,0.0,Podgórze,2026-08-05
ID4vhJ5,970000,13.785051350479566,50.7,3.9259259105971376,19132.15,2,3.0,9.0,False,0.0,Krowodrza,2026-08-05
ID1bBDlR,725000,13.493926933836812,53.16,3.9733062338450447,13638.07,2,5.0,,False,,Mistrzejowice,2026-08-05
ID4CsVy,748000,13.525158256956614,30.0,3.4011973816621555,24933.33,1,6.0,8.0,False,0.0,Grzegórzki,2026-08-05
ID4Cjjp,685000,13.437174117244362,47.4,3.858622228701031,14451.48,3,3.0,4.0,False,0.0,Bieżanów-Prokocim,2026-08-05
ID4CpZk,649000,13.383187995686226,25.71,3.246880021277798,25243.1,1,3.0,5.0,False,0.0,Stare Miasto,2026-08-05
ID4BT99,1916705,14.466118123905426,119.05,4.779543572932872,16100.0,4,4.0,4.0,False,1.0,Bieżanów-Prokocim,2026-08-05
ID4ClT1,745000,13.521139497361697,49.7,3.906004933102583,14989.94,2,4.0,4.0,False,1.0,Stare Miasto,2026-08-05
ID4unl2,886046,13.69452414697538,66.62,4.199004832765533,13300.0,3,2.0,7.0,False,0.0,Prądnik Biały,2026-08-05
ID4xToG,904491,13.715127633519227,61.53,4.119524860752399,14700.0,3,0.0,2.0,True,0.0,Podgórze Duchackie,2026-08-05
ID4CqLX,862000,13.66701054964583,50.36,3.9191972091761462,17116.76,3,4.0,5.0,False,0.0,Podgórze,2026-08-05
ID1bwSYu,599000,13.303016877097589,40.0,3.688879454113936,14975.0,2,3.0,,False,,Prądnik Biały,2026-08-05
ID4Ct3Q,1106666,13.916862449814742,59.3,4.08260930600368,18662.16,3,4.0,5.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4Cpsb,849000,13.651814465293484,66.7,4.200204952921578,12728.64,3,3.0,4.0,False,0.0,Podgórze Duchackie,2026-08-05
